Item,MSE d,MSE a,MSE delta,Pi,P,AUC true,AUC est,J_total
1,0.00692342706572779,0.00981833475806539,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
2,0.00858792606646687,0.010474616722254203,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
3,0.008168900990970996,0.007238652648264569,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
4,0.00810581896430093,0.009119948955908576,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
5,0.008999477452695888,0.012221735246092515,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
6,0.01145967348495065,0.011528822658330773,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
7,0.011290919193565093,0.011708651845964606,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
8,0.011017701197740365,0.011811753952222557,0.0,0.05,2,0.6770690626750979,0.5662363029963446,10
9,0.009039211247907264,0.009974895222701296,0.019542504925110105,0.05,2,0.6770690626750979,0.5662363029963446,10
10,0.009267564870252437,0.010689957392690897,0.018555019209260535,0.05,2,0.6770690626750979,0.5662363029963446,10
1,0.006923443791028287,0.009818318398269488,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
2,0.008587707948050477,0.010474585668352656,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
3,0.00816902954030328,0.007238692984313911,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
4,0.008105763457436044,0.009119980664462214,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
5,0.00899924862906126,0.012221796183606559,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
6,0.011459739398701603,0.01152884751998233,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
7,0.011290896322252523,0.011708705759007875,0.0,0.05,3,0.7077794780610571,0.6094372086661561,10
8,0.011017397825361971,0.011811851627686484,0.006744241827480025,0.05,3,0.7077794780610571,0.6094372086661561,10
9,0.00903911700314241,0.00997488375583684,0.01879964940295262,0.05,3,0.7077794780610571,0.6094372086661561,10
10,0.009268026543101198,0.010690047002617506,0.010284930900760308,0.05,3,0.7077794780610571,0.6094372086661561,10
1,0.008587820141933688,0.010474716033136655,0.0,0.05,4,0.7423011434511434,0.6330982602035233,10
2,0.008169052637725131,0.007238656841266433,0.0,0.05,4,0.7423011434511434,0.6330982602035233,10
3,0.008105897868304532,0.009119988523623087,0.0,0.05,4,0.7423011434511434,0.6330982602035233,10
4,0.008999338738317339,0.012221834489859341,0.0,0.05,4,0.7423011434511434,0.6330982602035233,10
5,0.01145965679357093,0.011528866988181969,0.0,0.05,4,0.7423011434511434,0.6330982602035233,10
6,0.011291137684661163,0.011708683769783177,0.0,0.05,4,0.7423011434511434,0.6330982602035233,10
7,0.011017448964268818,0.011811863218191387,0.006744242272005989,0.05,4,0.7423011434511434,0.6330982602035233,10
8,0.009039160115356661,0.009974897654319581,0.018799650386536037,0.05,4,0.7423011434511434,0.6330982602035233,10
9,0.009268008656468974,0.010690073438722985,0.01028493039233684,0.05,4,0.7423011434511434,0.6330982602035233,10
10,0.00908450477913826,0.006923498890510476,0.009818493717292529,0.05,4,0.7423011434511434,0.6330982602035233,10
1,0.008105873268854187,0.009119945272582745,0.0,0.05,6,0.7031897253528832,0.6340175620965096,10
2,0.00899919269898661,0.012221809931476204,0.0,0.05,6,0.7031897253528832,0.6340175620965096,10
3,0.011459306688864438,0.011528793003492934,0.0,0.05,6,0.7031897253528832,0.6340175620965096,10
4,0.011290993700397902,0.011708748741347781,0.0,0.05,6,0.7031897253528832,0.6340175620965096,10
5,0.01101742473366234,0.011811766910231088,0.00674424383531408,0.05,6,0.7031897253528832,0.6340175620965096,10
6,0.009038737730749645,0.009974919956089214,0.018799652417978846,0.05,6,0.7031897253528832,0.6340175620965096,10
7,0.009268015139261603,0.010690110428786618,0.01028493037045581,0.05,6,0.7031897253528832,0.6340175620965096,10
8,0.009084574252581556,0.006923531843863887,0.009818495183776909,0.05,6,0.7031897253528832,0.6340175620965096,10
9,0.008128570424462389,0.0085879210423799,0.010474800440440801,0.05,6,0.7031897253528832,0.6340175620965096,10
10,0.0106526580645512,0.008169191310392492,0.007238780996758029,0.05,6,0.7031897253528832,0.6340175620965096,10
1,0.011459729082625018,0.011528790292433665,0.0,0.05,8,0.7140040102855892,0.6232713644818908,10
2,0.011290818360404263,0.011708700890186514,0.0,0.05,8,0.7140040102855892,0.6232713644818908,10
3,0.01101749420759538,0.01181181442698292,0.006744242299123194,0.05,8,0.7140040102855892,0.6232713644818908,10
4,0.00903915079626108,0.009974900667149211,0.018799649081325354,0.05,8,0.7140040102855892,0.6232713644818908,10
5,0.00926793862035918,0.010690038958698897,0.010284930359994891,0.05,8,0.7140040102855892,0.6232713644818908,10
6,0.009084471234668247,0.0069235433364975155,0.009818494313550374,0.05,8,0.7140040102855892,0.6232713644818908,10
7,0.008128546583598076,0.008587921015146275,0.010474795584778904,0.05,8,0.7140040102855892,0.6232713644818908,10
8,0.010652064821783415,0.008169229240240362,0.0072387799400341415,0.05,8,0.7140040102855892,0.6232713644818908,10
9,0.008179725072052044,0.00810591337068391,0.009120041374953574,0.05,8,0.7140040102855892,0.6232713644818908,10
10,0.007252920536493973,0.008999305247900612,0.012221913950197439,0.05,8,0.7140040102855892,0.6232713644818908,10
1,0.011291007442013255,0.011708701864593498,0.0,0.05,9,0.7266202483860378,0.6660422748659591,10
2,0.011017327645835717,0.011811777207854314,0.006744242376732708,0.05,9,0.7266202483860378,0.6660422748659591,10
3,0.009039227395134955,0.009974904214953185,0.01879964975981976,0.05,9,0.7266202483860378,0.6660422748659591,10
